part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
pLuxStar,Promoter,,,,,0.0;0.0;0.0,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,